title,year,certificate,duration,genre,rating,description,stars,votes
Love 101,(20202021),TV-14,,"Comedy, Drama, Romance",7.0,"After wreaking havoc at school, Eda, Osman, Sinan and Kerem realize that compassionate teacher Burcu is their only hope against expulsion.","['Ahmet Katiksiz', '| ', '    Stars:', 'Alina Boz, ', 'Kubilay Aka, ', 'Mert Yazicioglu, ', 'Selahattin Pasali']",461
Love 101,(20202021),TV-14,,"Comedy, Drama, Romance",7.4,"With Isik's help, the group sets up Burcu and Kemal on a date at a rock concert. Afterward, Kemal offers to drive Burcu home.","['Ahmet Katiksiz', '| ', '    Stars:', 'Alina Boz, ', 'Kubilay Aka, ', 'Mert Yazicioglu, ', 'Selahattin Pasali']",420
Love 101,(20202021),TV-14,,"Comedy, Drama, Romance",7.7,"Burcu and Kemal feel a spark, Eda keeps Kerem at arm's length, and Sinan remains reluctant to open up to Isik.","['Ahmet Katiksiz', '| ', '    Stars:', 'Kubilay Aka, ', 'Alina Boz, ', 'Mert Yazicioglu, ', 'Selahattin Pasali']",419
Love 101,(20202021),TV-14,,"Comedy, Drama, Romance",7.5,"Isik encourages Eda to pursue her dreams. After putting Tuncay through a test, the group realizes he's unworthy of Burcu.","['Ahmet Katiksiz', '| ', '    Stars:', 'Kubilay Aka, ', 'Alina Boz, ', 'Mert Yazicioglu, ', 'Selahattin Pasali']",390
Love 101,(20202021),TV-14,,"Comedy, Drama, Romance",7.4,Osman lures Tuncay into his business scheme - with unexpected consequences. Isik creates an excuse for Burcu and Kemal to work together.,"['Deniz Yorulmazer', '| ', '    Stars:', 'Kubilay Aka, ', 'Alina Boz, ', 'Mert Yazicioglu, ', 'Selahattin Pasali']",384
Love 101,(20202021),TV-14,,"Comedy, Drama, Romance",7.7,"Eda, Isik and Burcu bond over wine and talk about love. Adult Isik reminisces about the evening when the group celebrated her birthday on the Bosporus.","['Deniz Yorulmazer', '| ', '    Stars:', 'Kubilay Aka, ', 'Alina Boz, ', 'Mert Yazicioglu, ', 'Selahattin Pasali']",417
Love 101,(20202021),TV-14,,"Comedy, Drama, Romance",8.1,"Tuncay shares unpleasant news with Burcu. An incident at the school lab proves to be the last straw for Necdet, and the crew faces imminent expulsion.","['Deniz Yorulmazer', '| ', '    Stars:', 'Kubilay Aka, ', 'Alina Boz, ', 'Mert Yazicioglu, ', 'Selahattin Pasali']",452
Love 101,(20202021),TV-14,,"Comedy, Drama, Romance",7.5,The teachers offer the group one last chance - in exchange for a humiliating public apology. Kemal and Burcu learn the truth about the setup.,"['Deniz Yorulmazer', '| ', '    Stars:', 'Kubilay Aka, ', 'Alina Boz, ', 'Mert Yazicioglu, ', 'Selahattin Pasali']",427
The Last Kingdom,(20152022),TV-MA,54 min,"Action, Drama, History",8.9,"Uhtred suffers a great loss on his attack on Bebbanburg. As he retreats south, he takes some valuable captives. Aethelflaed prepares for war.","[""Sarah O'Gorman""""", '| '
The Hookup Plan,(20182022),TV-MA,,"Comedy, Romance",6.0,Add a Plot,"['Renaud Bertrand, ', 'Nomie Saglio', '| ', '    Stars:', 'Josphine Dra, ', 'Zita Hanrot, ', 'Ryan Colt Levy, ', 'Victor Meutelet']",53
The Hookup Plan,(20182022),TV-MA,,"Comedy, Romance",6.4,Add a Plot,"['Renaud Bertrand, ', 'Nomie Saglio', '| ', '    Stars:', 'Josphine Dra, ', 'Zita Hanrot, ', 'Ryan Colt Levy, ', 'Sylvie Maute']",51
Peaky Blinders,(20132022),TV-MA,58 min,"Crime, Drama",8.8,"Tommy sets off to North America, where the end of Prohibition brings new opportunities. But he faces new danger from an old adversary who is finally making his move.","['Anthony Byrne', '| ', '    Stars:', 'Cillian Murphy, ', ""Natasha O'Keeffe"," """""
Sugar Rush,(20182020),TV-PG,47 min,"Game-Show, Reality-TV",7.2,"3 rounds: cupcakes- version of an Instagram cake trend, confections- next big trend, cake- unicorn twist. Guest judge is Jackie Sorkin.","['Hunter March, ', 'Candace Nelson, ', 'Jackie Sorkin, ', 'Adriano Zumbo']",37
Sugar Rush,(20182020),TV-PG,50 min,"Game-Show, Reality-TV",7.8,"An illuminating theme -- light -- ignited he bakers' creativity in the kitchen. Guest judge: actor Irene Choi (""Insatiable"""")""","['Irene Choi, ', 'Hunter March, ', 'Candace Nelson, ', 'Adriano Zumbo']",30
Sugar Rush,(20182020),TV-PG,50 min,"Game-Show, Reality-TV",7.4,"3 rounds: cupcakes- recreate your pet, confections- inspired by a family recipe, cake- recreate a family vacation in both look and taste. Guest judge is Carla Hall.","['Carla Hall, ', 'Hunter March, ', 'Candace Nelson, ', 'Adriano Zumbo']",27
Sugar Rush,(20182020),TV-PG,49 min,"Game-Show, Reality-TV",7.8,"3 rounds: cupcakes- feature favorite chocolate pairing, confections- feature ruby or blonde chocolate, cake- fantasy land of chocolate. Guest judge is Jacques Torres.","['Hunter March, ', 'Candace Nelson, ', 'Jacques Torres, ', 'Adriano Zumbo']",25
Sugar Rush,(20182020),TV-PG,50 min,"Game-Show, Reality-TV",6.0,"3 rounds: cupcakes- recreate your first date, confections- one that could hide an engagement ring, cake- wedding cake. Guest judges are Nick and Vanessa Lachey.","['Nick Lachey, ', 'Vanessa Lachey, ', 'Hunter March, ', 'Candace Nelson']",27
Sugar Rush,(20182020),TV-PG,47 min,"Game-Show, Reality-TV",7.4,"3 rounds: cupcakes- space theme with spacey ingredient, confections- geology inspired, cake- gravity defying. Guest judge is Paris Berelc.","['Paris Berelc, ', 'Hunter March, ', 'Candace Nelson, ', 'Adriano Zumbo']",25
F Is for Family,(20152021),TV-MA,28 min,"Animation, Comedy, Drama",7.7,Frank tries his best to improve his skills as a father while Kevin is encouraged to do better in school and Vic celebrates turning 30.,"['Sylvain Lavoie, ', 'Rich Wilkie', '| ', '    Stars:', 'Bill Burr, ', 'Laura Dern, ', 'Justin Long, ', 'Debi Derryberry']",416
F Is for Family,(20152021),TV-MA,28 min,"Animation, Comedy, Drama",7.8,Frank struggles to make good on his promises to Bill and Maureen. Vic gets a rude surprise on his first day back at the radio station.,"['Sylvain Lavoie, ', 'Rich Wilkie', '| ', '    Stars:', 'Bill Burr, ', 'Laura Dern, ', 'Justin Long, ', 'Debi Derryberry']",390
F Is for Family,(20152021),TV-MA,29 min,"Animation, Comedy, Drama",8.1,"A lunch date sends Sue even deeper into a funk, Bill discovers a different side of his grandfather, and a desperate Vic offers to record Kevin's band.","['Sylvain Lavoie, ', 'Rich Wilkie', '| ', '    Stars:', 'Bill Burr, ', 'Laura Dern, ', 'Justin Long, ', 'Debi Derryberry']",394
F Is for Family,(20152021),TV-MA,28 min,"Animation, Comedy, Drama",7.6,"While Frank and his dad tend to an emergency at the airport, Sue spends a maddening night at the hospital, and Bill takes a beating in the hockey rink.","['Sylvain Lavoie, ', 'Rich Wilkie', '| ', '    Stars:', 'Bill Burr, ', 'Laura Dern, ', 'Justin Long, ', 'Debi Derryberry']",379
