title,year,certificate,duration,genre,rating,description,stars,votes
Hellsing,(20012002),TV-MA,23 min,"Animation, Action, Fantasy",7.8,"A British taskforce, lead by the daughter of the vampire hunter Prof. Van Helsing, battles the supernatural with the aid of two vampires.","['Jji Nakata, ', 'Yoshiko Sakakibara, ', 'Fumiko Orikasa, ', 'Steven Brand']","16,481"
AlRawabi School for Girls,(20212022),TV-14,291 min,Drama,7.4,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.,"['Joanna Arida, ', 'Andria Tayeh, ', 'Noor Taher, ', 'Rakeen Saad']","6,061"
Chewing Gum,(20152017),TV-MA,23 min,Comedy,7.7,"The life of Tracey and the mishaps of her neighbourhood, friends and family, and of course, her boyfriend.","['Michaela Coel, ', 'Danielle Walters, ', 'Robert Lonsdale, ', 'Shola Adewusi']","9,555"
Last Chance U,(20162020),TV-MA,55 min,"Documentary, Sport",8.4,"Intense look inside the world of junior college football, chronicling the stories of players and coaches in the classroom and on the field.","['Ron Ollie, ', 'Brittany Wagner, ', 'Garrett Kruczek, ', 'John III Franklin']","6,962"
Mystery Science Theater 3000,(20172022),TV-14,90 min,"Comedy, Drama, Horror",8.1,Kinga Forrester continues the B-movie watching experiments of her father and grandmother on a new test subject aboard the Satellite Of Love.,"['Felicia Day, ', 'Joel Hodgson, ', 'Patton Oswalt, ', 'Rebecca Hanson']","3,721"
Gentefied,(20202021),TV-MA,,Comedy,7.4,The Morales cousins scramble to save their grandfather's taco shop--and pursue their own dreams--as gentrification shakes up their LA neighborhood.,"['Joseph Julian Soria, ', 'Karrie Martin Lachney, ', 'Joaqun Cosio, ', 'Carlos Santos']","2,769"
Wolfblood,(20122017),TV-PG,30 min,"Family, Fantasy",7.4,"Maddy Smith and her family are the only wolfbloods in Stoneybridge, which is a well-kept secret. They lead a peaceful life until Rhydian, a wolfblood, arrives and triggers chaos.","['Gabrielle Green, ', 'Leona Vaughan, ', 'Shorelle Hepkin, ', 'Mark Fleischmann']","3,639"
Life's Too Short,(20112013),TV-MA,30 min,Comedy,7.5,"The show centers on Warwick Davis in his day-to-day life, complete with the frustrations he faces.","['Warwick Davis, ', 'Ricky Gervais, ', 'Stephen Merchant, ', 'Rosamund Hanson']","15,741"
Transformers: War for Cybertron Trilogy,(20202021),TV-Y7,30 min,"Animation, Action, Adventure",7.3,Animated series set in the world of battling Autobots and Decepticons.,"['Jason Marnocha, ', 'Frank Todaro, ', 'Jake Foushee, ', 'Bill Rogers']","3,660"
Pacific Rim: The Black,(20212022),TV-14,24 min,"Animation, Action, Adventure",7.0,"After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, seedy characters and chance allies.","['Gideon Adlon, ', 'Calum Worthy, ', 'Erica Lindbeck, ', 'Victoria Grace']","5,320"
Ghost Wars,(20172018),TV-14,60 min,"Drama, Fantasy, Horror",6.2,A remote Alaskan town that has been overrun by paranormal forces. Local outcast Roman Mercer must overcome the town's prejudices and his own personal demons if he's to harness his repressed psychic powers and save everyone.,"['Avan Jogia, ', 'Kim Coates, ', 'Luvia Petersen, ', 'Jesse Moss']","5,019"
Shaman King,(20212022),TV-PG,23 min,"Animation, Action, Adventure",7.0,"Shaman King follows the adventures of a 13-year-old shaman and his teammate a samurai warrior spirit, who traverse the world fighting evil spirits and misguided shamans on their journey to be the next Shaman King.","['Yko Hikasa, ', 'Tara Sands, ', 'Masahiko Tanaka, ', 'Abby Trott']","1,839"
Power Rangers Beast Morphers,(20192020),TV-Y7,21 min,"Action, Adventure, Comedy",6.5,"Set in the future, a secret agency combines a newly discovered substance called ""Morph-X"""" with animal DNA to create the Power Rangers Beast Morphers team.""","['Rorrie D. Travis, ', 'Jasmeet Baduwalia, ', 'Jacqueline Scislowski, ', 'Abraham Rodriguez']",616
I'm Not a Robot,(20172018),TV-14,35 min,"Comedy, Romance, Sci-Fi",8.0,"Kim Min Gyu has wealth and success, but lives an isolated life due to his allergy of people. He then meets and falls in love with a girl who is pretending to be a robot for her ex-boyfriend, a genius robots professor.","['Seung-eon Hwang, ', 'Se-wan Park, ', 'Yoo Seung-ho, ', 'Chae Soo-bin']","5,472"
Haters Back Off!,(20162017),TV-14,30 min,"Comedy, Drama, Family",5.9,"The odd ball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise who continues to fail upward by the power of her belief that she was born famous, it's just no one knows it yet.","['Colleen Ballinger, ', 'Angela Kinsey, ', 'Francesca Reale, ', 'Erik Stocklin']","7,335"
The A List,(20182021),TV-14,25 min,"Crime, Drama, Mystery",5.4,"Mia arrives at an idyllic summer camp expecting to be Queen Bee, but the ""holiday of a lifetime"""" turns into a twisted nightmare.""","['Lisa Ambalavanar, ', 'Ellie Duckles, ', 'Rosie Dwyer, ', 'Jack Kane']","2,968"
Slugterra,(20122016),TV-Y7,22 min,"Animation, Action, Adventure",6.9,"Eli Shane is determined to be the greatest Slugslinging hero of them all! Only by collecting, training and dueling with little critters called SLUGS can Eli and his team hope to defeat the ...                See full summary","['Lee Tockar, ', 'Sam Vincent, ', 'Andrew Francis, ', 'Shannon Chan-Kent']","1,707"
Summertime,(20202022),TV-MA,40 min,"Drama, Romance",6.1,"A modern love story, set during a summer on the Adriatic coast. An undeniable attraction unites Ale and Summer, two people from very different worlds.","['Rebecca Coco Edogamhe, ', 'Ludovico Tersigni, ', 'Amanda Campana, ', 'Andrea Lattanzi']","2,806"
Code Lyoko,(20032007),TV-Y7,26 min,"Animation, Action, Adventure",7.3,"When a group of four boarding school students discover a supercomputer housed inside an abandoned factory, they find a virtual world called Lyoko and awaken a sentient multi-agent system virus that tries to take over the real world.","['Sharon Mann, ', 'Mirabelle Kirkland, ', 'Matthew Gczy, ', 'Barbara Scaff']","5,245"
Fate/stay night [Unlimited Blade Works],(20142015),TV-14,24 min,"Animation, Action, Adventure",8.0,"A group of seven mages gets chosen to become masters of seven classes of heroic spirits, in order to fight and win the Holy Grail.","['Noriaki Sugiyama, ', 'Kana Ueda, ', 'Bryce Papenbrook, ', 'Mela Lee']","7,896"
Clarence,(20132018),TV-PG,23 min,"Animation, Short, Adventure",6.7,"The adventures of a 4th grader named Clarence along with his two best friends, Sumo and Jeff.","['Spencer Rothbell, ', 'Katie Crown, ', 'Tom Kenny, ', 'Sean Giambrone']","9,819"
DreamWorks Dragons,(20122014),TV-Y7,22 min,"Animation, Action, Adventure",7.9,The further adventures of Hiccup and his friends on the Island of Berk.,"['Jay Baruchel, ', 'Christopher Mintz-Plasse, ', 'T.J. Miller, ', 'America Ferrera']","11,561"
3Below: Tales of Arcadia,(20182019),TV-Y7-FV,24 min,"Animation, Action, Adventure",7.7,A pair of teenage royals and their bodyguard escape from their home planet and try to blend in on Earth.,"['Tatiana Maslany, ', 'Diego Luna, ', 'Nick Offerman, ', 'Frank Welker']","6,264"
Frequency,(20162017),TV-MA,42 min,"Drama, Fantasy, Mystery",7.4,"A police detective in 2016 discovers that she is able to communicate with her father via a ham radio, despite the fact that he died in 1996.","['Peyton List, ', 'Riley Smith, ', 'Devin Kelley, ', 'Mekhi Phifer']","13,862"
Sonic X,(20032006),TV-Y7,30 min,"Animation, Action, Adventure",6.2,"A slight malfunction causes Chaos Control, and sends Sonic the Hedgehog to Earth. While there, Sonic meets Chris Thorndyke, who aids at collecting the Chaos Emeralds, so Sonic and friends can go home.","['Gabriella Lewis, ', ""Jun'ichi Kanemaru"," """""
Video Game High School,(20122014),TV-14,42 min,"Action, Romance, Sci-Fi",7.6,"In a futuristic world where gaming is the top sport, a teenager attends a school which specializes in a curriculum of video games in each genre.","['Josh Blaylock, ', 'Ellary Porterfield, ', 'Johanna Braddy, ', 'Jimmy Wong']","13,375"
Lady of Steel,(20142019),TV-14,,"Crime, Drama, Romance",6.9,"Seora Acero 3: La Coyote--Bastard daughter of Vicente Acero, Vicenta Rigores Acero (La Coyote) must come face-to-face with her destiny to become the New Seora Acero, as she is the heiress of the Acero family dynasty.","['Wayne LeGette, ', 'Aurora Gil, ', 'Oscar Priego, ', 'Jorge Zrate']",394
Trailer Park Boys: The Animated Series,(20192020),TV-MA,25 min,"Animation, Comedy",7.5,"Nova Scotia's favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons.","['John Paul Tremblay, ', 'Robb Wells, ', 'Mike Smith, ', 'Patrick Roach']","3,061"
Swedish Dicks,(20162018),TV-MA,30 min,"Comedy, Crime",6.7,Two unlicensed Swedish private investigators try to make a living in Los Angeles.,"['Peter Stormare, ', 'Johan Glans, ', 'Vivian Bang, ', 'Felisha Cooper']","3,383"
Wakfu,(20082017),TV-Y7-FV,24 min,"Animation, Action, Adventure",8.1,Saving the world from an evil madman? Not a problem for this kid. Finding his birth parents? That's the real adventure!,"['Fanny Bloc, ', 'Genevive Doang, ', 'Jules de Jongh, ', 'Thomas Guitard']","1,549"
El Dragn: Return of a Warrior,(20192020),TV-MA,45 min,"Action, Adventure, Drama",6.8,"After the murder of his parents when he was a little kid, Mexican Miguel Garza is sent away to Japan. 20 years later, he has to go back to his home country as the new heir of his family's cartel.","['Sebastin Rulli, ', 'Renata Notni, ', 'Manuel Balbi, ', 'Cassandra Sanchez Navarro']","1,894"
Midnight Diner: Tokyo Stories,(20162019),TV-14,24 min,Drama,8.4,An anthology of human relationship stories connected by the only open in the wee hours diner the characters frequent. Resolutions are often facilitated by the owner/chef.,"['Kaoru Kobayashi, ', 'Mansaku Fuwa, ', 'Asako Kobayashi, ', 'Joe Odagiri']","4,238"
Ask the StoryBots,(20162019),TV-Y,24 min,"Animation, Adventure, Comedy",8.4,"Based on the award-winning educational apps, the StoryBots are curious little creatures who live in the world beneath our screens and go on fun adventures to help answer kids' questions.","['Judy Greer, ', 'Erin Fitzgerald, ', 'Fred Tatasciore, ', 'Jeff Gill']",904
The Hookup Plan,(20182022),TV-MA,27 min,"Comedy, Romance",7.1,"Elsa, a Parisian, can not forget her ex. Her best friend secretly hires an escort boy to help her move on but the plan works a little too well .","['Zita Hanrot, ', 'Sabrina Ouazani, ', 'Josphine Dra, ', 'Marc Ruchmann']","5,465"
The Boss Baby: Back in Business,(20182021),TV-Y7,25 min,"Animation, Adventure, Comedy",6.4,"With a little help from his brother and accomplice, Tim, Boss Baby tries to balance family life with his job at Baby Corp headquarters.","['JP Karliak, ', 'David W. Collins, ', 'Flula Borg, ', 'Pierce Gagnon']","3,810"
Family Business,(20192021),TV-MA,,Comedy,7.4,"Learning that cannabis will be legalized, Joseph, a failed entrepreneur, decides to transform, with the help of his family and friends, the kosher butcher shop of his father and open the first marijuana coffeeshop in France.","['Jonathan Cohen, ', 'Grard Darmon, ', 'Julia Piaton, ', 'Liliane Rovre']","4,180"
Knights of the Zodiac,(19861989),TV-PG,24 min,"Animation, Action, Adventure",8.4,"A group a young warriors known as 'Saints', each in possession of a 'cloth' guarded by a different constellation, must protect the reincarnation of the goddess Athena as she attempts to keep the Earth from being destroyed by evil forces.","['Hideyuki Tanaka, ', 'Tru Furuya, ', 'Ry Horikawa, ', 'Kichi Hashimoto']","10,092"
Violetta,(20122015),TV-G,45 min,"Drama, Family, Music",5.1,A musically-talented teenager returns to her native Buenos Aires after living in Europe.,"['Diego Ramos, ', 'Tini Stoessel, ', 'Jorge Blanco, ', 'Mercedes Lambre']","2,489"
The Trip,(20102020),TV-14,172 min,Comedy,8.0,Steve is asked to review restaurants for the UK's Observer who is joined on a working road trip by his friend Rob who fills in at the last minute when Coogan's romantic relationship falls apart.,"['Steve Coogan, ', 'Rob Brydon, ', 'Claire Keelan, ', 'Rebecca Johnson']","7,652"
Gate,(20152016),TV-14,24 min,"Animation, Action, Adventure",7.5,A gate appears in modern-day Tokyo which allows access to a fantasy world. A Japanese military squad is formed to establish ties between both worlds.,"[""Jun'ichi Suwabe"," """""
Luis Miguel: The Series,(20182021),TV-MA,60 min,"Biography, Drama, History",8.0,"The series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades.","['Diego Boneta, ', 'Gabriel Nuncio, ', 'Csar Bordn, ', 'Kevin Holt']","4,729"
Hache,(20192021),TV-MA,50 min,"Crime, Drama, Thriller",6.5,"Inspired by real events, Hache is the story of Helena, a woman catapulted to the heroin trafficking business in the Barcelona of the 60s.","['Adriana Ugarte, ', 'Eduardo Noriega, ', 'Marc Martnez, ', 'Pep Ambrs']","1,675"
Camp Lazlo!,(20052022),TV-Y7,30 min,"Animation, Short, Adventure",6.4,"Bean Scout Lazlo, a fun-loving, free-spirited monkey, and his two bunkmates Raj and Clam, wreak havoc on a very structured summer camp.","['Carlos Alazraqui, ', 'Jeff Bennett, ', 'Tom Kenny, ', 'Mr. Lawrence']","9,971"
Power Rangers Megaforce,(20132014),TV-Y7,24 min,"Action, Adventure, Family",5.6,An evil galactic armada has come to destroy the planet Earth and the newest team of Power Rangers must harness powers from Rangers of the past to stop them as the Power Rangers Megaforce.,"['Andrew Gray, ', 'Ciara Hanna, ', 'John Mark Loudermilk, ', 'Christina Masterson']","1,681"
Some Assembly Required,(20142016),TV-G,,"Comedy, Family",4.4,A 14-year-old takes ownership of a toy company and hires a group of his friends to help him create amazing new toys.,"['Kolton Stewart, ', 'Harrison Houde, ', 'Sydney Scotia, ', 'Charlie Storwick']",980
Johnny Test,(20052014),TV-Y7,30 min,"Animation, Action, Adventure",5.1,"The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process.","['James Arnold Taylor, ', 'Maryke Hendrikse, ', 'Lee Tockar, ', 'Ashleigh Ball']","8,436"
Home for Christmas,(20192020),TV-MA,29 min,"Comedy, Drama, Romance",7.7,"When the constant comments on her single status and society's expectations of the perfect family Christmas finally get to 30-year-old Johanne, she starts a 24-day hunt for a partner to bring home for Christmas.","['Dennis Storhi, ', 'Ida Elise Broch, ', 'Hege Schyen, ', 'Oddgeir Thune']","13,956"
Barbie: Life in the Dreamhouse,(20122015),TV-G,3 min,"Animation, Short, Comedy",7.4,Barbie has various misadventures with her friends and sisters in a doll-sized version of Malibu.,"['Kate Higgins, ', 'Sean Hankinson, ', 'Haviland Stillwell, ', 'Paula Rhodes']","1,950"
Love Island Australia,(20182022),TV-MA,50 min,Reality-TV,5.4,Love Island Australia is an Australian dating reality show based on the British series Love Island.,"['Sophie Monk, ', 'Eoghan McDermott, ', 'Josh Moss, ', 'Erin Barnett']",652
Spycraft,(20202022),TV-MA,271 min,Documentary,6.7,Follows intelligence experts who offer an look behind the CIA's most secretive operations throughout history and the devices that made them possible.,"['Keith Melton, ', 'Dylan Berry, ', 'Robert Bigman, ', 'Hamet Yousef']","2,105"
The Increasingly Poor Decisions of Todd Margaret,(20092016),TV-MA,25 min,Comedy,7.5,"Todd Margaret is an American who takes a job running the London sales team for an energy drink. He has no experience with British culture, knows nothing about sales and has only one employee, Dave.","['Sharon Horgan, ', 'Will Arnett, ', 'David Cross, ', 'Blake Harrison']","6,610"
The Magic School Bus Rides Again,(20172021),TV-Y,26 min,"Animation, Adventure, Family",6.2,Ms. Frizzle and her class along with an inventive high-tech bus that invites children on high-flying hijinks that introduce the incredible world of science.,"['Mikaela Blake, ', 'Gabby Clarke, ', 'Birva Pandya, ', 'Kate McKinnon']",839
Thieves of the Wood,(20182020),TV-MA,45 min,"Adventure, Drama, History",6.8,In 18th-century Flanders a soldier-turned-bandit becomes a local hero as he leads the oppressed and downtrodden in a revolt against the corrupt aristocracy.,"['Matteo Simoni, ', 'Stef Aerts, ', 'Jeroen Perceval, ', 'Dirk Roofthooft']","2,678"
Lady Dynamite,(20162017),TV-MA,30 min,Comedy,7.3,"Series is based on what Maria has accepted to be ""her life."""" The occasionally surreal episodes", refracted across multiple periods of the actor/comedian's life," tell the story of a woman who loses - and then finds - herself."""
Knights of the Zodiac: Saint Seiya,(20192022),TV-14,24 min,"Animation, Action, Adventure",4.6,A digital remake from the Japanese anime classic Knights of the Zodiac (1986).,"['Masakazu Morita, ', 'Bryson Baugus, ', 'Hideyuki Tanaka, ', 'Marty Fleck']","1,896"
Little Einsteins,(20052010),TV-Y,,"Animation, Adventure, Comedy",6.3,Four friends go on missions with their ever changing rocket ship. Every mission includes a classic song and a painting.,"['David Jason, ', 'Aiden Pompey, ', 'Jesse Schwartz, ', 'Natalia Wojcik']","1,940"
Save Me,(20172019),TV-14,60 min,"Mystery, Thriller",7.9,A young girl coming to a small town with her family. And through tragic events getting involved with a religious cult.,"['Jo Jae-yoon, ', 'Ho-jin Chun, ', 'Tae-goo Eom, ', 'Esom']","1,476"
Vexed,(20102012),TV-PG,60 min,"Comedy, Crime, Mystery",7.2,Two Detectives Jack and Georgina who share chemistry but have complicated personal lives.,"['Toby Stephens, ', 'Ronny Jhutti, ', 'Roger Griffiths, ', 'Miranda Raison']","3,629"
Jack Whitehall: Travels with My Father,(20172021),TV-MA,30 min,"Documentary, Comedy",7.6,"Follows Jack Whitehall as he embarks on the trip of a lifetime with his father, Michael. The two set off on a journey across South East Asia to partake in a series of adventures, mishaps and escapades with two very different perspectives.","['Jack Whitehall, ', 'Michael Whitehall, ', 'Hilary Whitehall, ', 'Steven Seagal']","5,577"
Kekkai Sensen,(20152017),TV-14,24 min,"Animation, Action, Adventure",7.2,"In a city where the paranormal and ordinary co-exist, the Libra organization battles to ensure peace and order.","['Daisuke Sakaguchi, ', 'Kazuya Nakai, ', 'Ian Sinclair, ', 'J. Michael Tatum']","2,184"
The Wiggles,(19932012),TV-Y,30 min,"Adventure, Comedy, Family",5.8,"Get ready to Wiggle with the Wiggles' TV series. Wiggle fans can join in on the fun with the beloved quartet Anthony, Murray, Greg and Jeff.","['Murray Cook, ', 'Jeff Fatt, ', 'Anthony Field, ', 'Greg Page']",926
La Doa,(20162020),TV-14,45 min,"Drama, Romance",6.9,"Worlds collide and lives shatter when Altagracia, a powerful and elegant businesswoman, plots a twisted revenge while falling in love.","['Aracely Armbula, ', 'Wayne LeGette, ', 'Jos Mara Galeano, ', 'Andrea Mart']",636
Guilty Crown,(20112012),TV-14,23 min,"Animation, Action, Romance",7.0,"After the outbreak of the unidentified virus ""Lost Christmas"""" in 2029"," Japan has been under the control of a multi-nation organization called GHQ. Ohma Shu is a 17 year old boy who has a ...                See full summary""","['Yki Kaji, ', 'Ai Kayano, ', 'Kana Hanazawa, ', 'Patrick Seitz']"
Sunderland 'Til I Die,(20182020),TV-MA,39 min,"Documentary, Sport",8.1,"Highlights the unfailing passion Sunderland residents have for their beloved football club, taking viewers through the highs and lows of SAFC's 2017-18 season in the Championship following its relegation the previous year.","['Aiden McGeady, ', 'Nick Barnes, ', 'George Honeyman, ', 'Gary Bennett']","8,352"
Project Mc,(20152017),TV-Y7,26 min,Family,5.9,"McKeyla, Adrienne, Bryden, and Camryn are four super smart and science-skilled girls recruited to join the spy organization, NOV8.","['Mika Abdalla, ', 'Ysa Penarejo, ', 'Victoria Vida, ', 'Genneya Walton']","1,060"
Transformers: Robots in Disguise,(20142020),TV-Y7,22 min,"Animation, Action, Adventure",5.9,"When a new army of Decepticons appear, Bumblebee must lead a new team of Autobots to Earth against their eternal foes.","['Khary Payton, ', 'Mitchell Whitfield, ', 'Will Friedle, ', 'Constance Zimmer']","1,091"
Skylanders Academy,(20162018),TV-Y7,25 min,"Animation, Action, Adventure",6.6,"""Skylanders Academy"""" follows the heroic adventures of Spyro", Eruptor, Stealth Elf
Busted!,(20182021),TV-14,90 min,"Comedy, Reality-TV",7.6,A whodunit variety show featuring some of of the biggest names in K-Pop and K-Drama.,"['Yoo Jae-suk, ', 'Park Min-Young, ', 'Se-hun Oh, ', 'Jong-min Kim']",951
All Hail King Julien,(20142017),TV-Y7,23 min,"Animation, Short, Action",7.0,Animated misadventures of a hard-partying lemur and his wild friends in Madagascar.,"['Danny Jacobs, ', 'Andy Richter, ', 'Kevin Michael Richardson, ', 'India de Beaufort']","2,067"
The Epic Tales of Captain Underpants,(20182020),TV-Y7,24 min,"Animation, Short, Action",6.6,"Best friends George and Harold scheme together a number of pranks at school involving their principal, whose alter ego is a superhero they created called Captain Underpants.","['Nat Faxon, ', 'Jay Gragnani, ', 'Ramone Hamilton, ', 'Sean Astin']",954
The Hollow,(20182020),TV-Y7-FV,24 min,"Animation, Drama, Family",7.2,Three teen strangers awaken in a dangerous world and try to make sense of what connection they have to each other as they attempt to make it out alive.,"['Ashleigh Ball, ', 'Connor Parnall, ', 'Adrian Petriw, ', 'Mark Hildreth']","4,382"
Marseille,(20162018),TV-MA,41 min,Drama,6.8,"A tale of power, corruption and redemption set against the rich backdrop of the French port city of Marseille.","['Karen Strassman, ', 'Anne Yatco, ', 'Grard Depardieu, ', 'Benot Magimel']","5,220"
Spice and Wolf,(20082009),TV-14,24 min,"Animation, Adventure, Fantasy",7.9,"Kraft Lawrence goes from town to town to make profits as a travelling merchant, with the help of a wolf deity by the name of Holo.","['Jun Fukuyama, ', 'Ami Koshimizu, ', 'J. Michael Tatum, ', 'Brina Palencia']","4,467"
The Exorcist Boner,(20202021),TV-MA,12 min,"Comedy, Animation",5.7,"No demon is safe as Bogdan Boner, the alcohol-loving, self-taught exorcist-for-hire, returns with more inventive, obscene and deadly deeds.","['David Boat, ', 'Bartosz Walaszek']",306
V.R. Troopers,(19941996),TV-Y7,30 min,"Action, Adventure, Family",5.6,"A trio of teenagers gain powers from ""Virtual Reality"""" to fight the evil forces of Grimlord.""","['Michael Hollander, ', 'Michael Sorich, ', 'David Carr, ', 'Gardner Baldwin']","1,041"
Higurashi: When They Cry - GOU,(20202021),TV-MA,,"Animation, Drama, Horror",6.9,"Keiichi Maebara is in his new home in the peaceful Hinamizawa village, making friends with girls from school. He's here for a big festival. But something about this town seems off, with that fear what dark secrets can this small town hide?","['Sichir Hoshi, ', 'Yukari Tamura, ', 'Mai Nakahara, ', 'Emi Lo']",588
The Mechanism,(20182019),TV-MA,41 min,"Crime, Drama, Thriller",8.0,Dramatic fiction series loosely inspired by an investigation of corruption in Brazil's private and state oil companies and construction companies.,"['Caroline Abras, ', 'Selton Mello, ', 'Enrique Diaz, ', 'Jonathan Haagensen']","36,200"
Iron Man: Armored Adventures,(20082012),TV-Y7,22 min,"Animation, Action, Adventure",6.4,A teenage Tony Stark battles evil with his revolutionary power armor technology.,"['Adrian Petriw, ', 'Daniel Bacon, ', 'Anna Cummer, ', 'Lisa Ann Beley']","3,678"
The Chalet,(20172018),TV-MA,52 min,"Drama, Mystery, Thriller",7.0,A reunion of childhood friends at a remote chalet in the French Alps soon turns into a desperate struggle for survival as they get cut off from rest of the world and a shocking dark secret from the past surfaces.,"['Chlo Lambert, ', 'Philippe Dusseau, ', 'Blanche Veisberg, ', 'Eric Savin']","7,345"
Well-Intended Love,(20192020),TV-14,45 min,"Drama, Romance",7.2,A third-rate actress with leukemia got married to the powerful CEO of a company because she needs him to receive a bone marrow transplant so she can continue her career.,"['Kaicheng Xu, ', 'Ian Yi, ', 'Shuang Wang, ', 'Qianshuo Huang']","1,513"
Ever After High,(20132017),TV-Y,25 min,"Animation, Adventure, Comedy",7.7,"The students of all the fairytale characters attend Ever After High, where they are either Royals (students who want to follow in their parent's footsteps) or Rebels (students who wish to write their own destiny).","['Cindy Robinson, ', 'Todd Haberkorn, ', 'Stephanie Sheh, ', 'Jamieson Price']","1,218"
Spirit Riding Free,(20172019),TV-Y7,23 min,"Animation, Action, Adventure",6.4,The wild west adventures of a free-spirited girl and her wild stallion horse companion.,"['Amber Frank, ', 'Bailey Gambertoglio, ', 'Sydney Park, ', 'Nolan North']","1,031"
Danger Mouse,(20152022),TV-Y7,22 min,"Animation, Action, Adventure",7.1,The continuing adventures of secret agent Danger Mouse and his sidekick Penfold.,"['Alexander Armstrong, ', 'Kevin Eldon, ', 'Dave Lamb, ', 'Stephen Fry']",604
The Adventures of Puss in Boots,(20152018),TV-Y7,23 min,"Animation, Short, Action",6.5,"The famous cat protects the city of San Lorenzo, a mythical land invisible to the outside world.","['Eric Bauza, ', 'Jayma Mays, ', 'Grey Griffin, ', 'Paul Rugg']","1,759"
Mortel,(20192021),TV-MA,40 min,"Crime, Drama, Fantasy",6.4,A group of French teenagers are bound together by a supernatural force.,"['Carl Malapa, ', 'Nmo Schiffman, ', 'Manon Bresch, ', 'Corentin Fila']","1,492"
Marlon,(20172018),TV-PG,22 min,Comedy,6.9,"A loving but immature father with a larger-than-life personality is committed to co-parenting his two kids with his very-together ex-wife. For Marlon, family always comes first--even if he's the biggest kid of all.","['Marlon Wayans, ', 'Essence Atkins, ', 'Bresha Webb, ', 'Diallo Riddle']","4,229"
A Certain Magical Index,(20082019),TV-14,23 min,"Animation, Action, Comedy",6.8,Index is still a fugitive and many powerful Magical organizations and individuals want to take her to use the books in her memory eliminating her in the process. War between those ...                See full summary,"['Monica Rial, ', 'Micah Solusod, ', 'Alexis Tipton, ', 'Christopher Sabat']","1,982"
100 das para enamorarnos,(20202021),TV-14,45 min,Comedy,6.7,Two couples in struggling relationships decide to give each other another chance: 100 days for them to fall back in love.,"['Ilse Salas, ', 'Mariana Trevio, ', 'Erick Elias, ', 'David Chocarro']",764
The Melancholy of Haruhi Suzumiya,(20062009),TV-14,24 min,"Animation, Comedy, Fantasy",7.8,"The crazy adventures of the SOS Brigade, led by the insane but charismatic Haruhi.","['Tomokazu Sugita, ', 'Aya Hirano, ', 'Minori Chihara, ', 'Crispin Freeman']","8,489"
Always a Witch,(20192020),TV-14,40 min,"Drama, Fantasy",6.2,A time-traveling witch from the 17th century escapes death and finds herself in modern-day Cartagena.,"['Sofa Araujo Meja, ', 'Angely Gaviria, ', 'Sofa Arajo, ', 'Dylan Fuentes']","2,503"
Cardcaptor Sakura,(19982000),TV-Y7-FV,30 min,"Animation, Action, Adventure",8.0,"Sakura stumbled upon the book of Clow Cards in a library. Accidentally setting the magical cards loose, it's now up to Sakura to catch them all with her best friend Tomoyo, and Kerberos, the guardian of the cards.","['Sakura Tange, ', 'Sam Vincent, ', 'Matt Hill, ', 'Brian Drummond']","5,077"
Girls from Ipanema,(20192020),TV-MA,45 min,"Drama, Romance",7.8,"After her husband's disappearance, Maria Luiza opens a Bossa Nova club in defiance of her normally conservative demeanor.","['Maria Casadevall, ', 'Pathy Dejesus, ', 'Mel Lisboa, ', 'Leandro Lima']","3,530"
Wild District,(20182019),TV-MA,45 min,"Action, Crime, Drama",8.1,"Jhon Jeiver, a lethal guerrilla fighter who escapes from the jungle after the signing and referendum of the Colombian Peace Agreements, arrives in Bogot escaping from his past, and tries to reinsert himself into society.","['Cristina Umaa, ', 'Juan Pablo Raba, ', 'Nicols Quiroga Pineda, ', 'Hans Martnez']","1,949"
The Asterisk War,(20152016),TV-14,23 min,"Animation, Action, Comedy",6.8,"The Academy City on the water, Rikka (also known as Asterisk) is the world's largest stage for the integrated battle entertainment, ""Star Wars Festival."""" The young boys and girls of the """"...                See full summary""","['Atsushi Tamaru, ', 'Ai Kakuma, ', 'Kira Buckland, ', 'Erik Scott Kimerer']","2,106"
Diablero,(20182020),TV-MA,40 min,"Adventure, Drama, Fantasy",6.7,"A fallen priest, a legendary demon hunter and a modern day superhero join forces to battle evil.","['Christopher Von Uckermann, ', 'Gisselle Kuri, ', 'Ftima Molina, ', 'Horacio Garcia Rojas']","2,615"
Kid Cosmic,(20212022),TV-Y7,25 min,"Animation, Short, Action",7.9,"A young boy who dreams of becoming a hero, stumbles across some cosmic stones of power. His dreams appear to have come true.","['Amanda Cline Miller, ', 'Lily Rose Silver, ', 'Keith Ferguson, ', 'Fred Tatasciore']","1,462"
